30 419
2 19 24.8942
2 26 25.1623
19 20 25.2757
0 18 25.2805
12 13 25.4957
14 21 25.5268
12 18 26.3451
22 25 26.6437
8 9 26.8181
8 29 26.8208
22 26 26.9885
13 19 27.1444
21 22 27.345
4 26 27.5666
1 11 27.6309
1 7 27.7104
15 18 27.7319
25 27 27.7661
4 25 27.7864
1 6 27.9781
2 10 28.0523
3 24 28.1062
8 12 28.2634
21 27 28.3186
11 18 28.4128
3 14 28.5041
4 21 28.5525
26 27 28.7867
20 25 28.8318
1 15 29.0648
2 16 29.0991
20 26 29.22
2 17 29.3207
20 21 29.4678
18 23 29.7658
1 23 29.8179
7 18 30.4665
13 25 30.5648
1 28 30.874
13 21 31.1034
13 26 31.2825
3 22 31.3626
2 12 31.3751
18 28 31.5053
8 15 31.6567
8 11 31.7917
2 9 31.8621
6 18 32.0951
3 4 32.3661
2 29 32.4227
3 27 32.7185
7 8 33.3071
8 23 33.4014
0 1 33.4069
3 20 33.6261
6 8 34.5324
0 3 34.7995
8 28 34.9883
3 13 35.4983
0 21 35.5422
18 24 35.6989
1 24 35.867
1 14 36.033
14 18 36.3327
2 11 36.6203
0 25 36.813
2 15 37.1715
2 7 37.4181
2 6 38.0919
18 22 38.4621
2 23 38.5195
1 22 39.4286
8 24 39.4589
18 27 39.5063
4 18 39.6306
2 28 39.882
8 14 39.9788
1 4 40.2825
18 20 40.6212
1 27 40.9695
0 19 41.5796
1 20 41.7165
13 18 42.2981
8 22 42.4528
0 16 43.4201
4 8 43.557
8 27 43.6239
1 13 43.6864
0 5 43.7935
0 10 44.1047
2 24 44.6419
8 20 44.6636
2 14 45.0045
0 26 46.1619
8 13 46.4231
0 17 46.6241
5 8 47.2558
1 5 47.3436
0 29 47.5403
2 22 47.9095
0 9 48.4386
2 4 48.9154
2 27 49.2424
2 20 50.1698
0 12 51.4237
2 13 52.0285
0 15 52.2386
5 18 52.3469
0 11 53.4724
0 23 54.5939
0 7 55.7318
3 5 55.9932
0 28 56.4561
0 6 57.361
0 24 60.2976
5 26 60.7821
0 14 61.067
5 25 61.9617
5 21 62.5171
0 22 62.6482
0 27 63.4133
0 4 63.9146
5 19 64.1914
0 20 64.6686
0 13 66.1361
5 12 67.2949
5 10 67.3792
5 17 67.9173
5 16 68.938
5 9 70.6646
5 29 71.8495
5 6 74.1405
5 7 74.5152
5 11 74.9085
5 15 76.3693
5 23 77.1475
5 28 78.1235
5 24 83.1632
5 14 83.2633
5 22 86.7661
4 5 87.5973
5 27 88.3124
5 20 89.054
5 13 91.0292

