50 419
16 28 14.2509
40 42 14.3313
9 14 14.536
17 22 14.6239
2 42 14.7032
18 21 14.8572
16 42 15.1032
42 48 15.286
26 47 15.2885
5 12 15.33
24 37 15.3819
22 42 15.3957
33 48 15.6323
19 24 15.6871
11 32 15.7456
10 44 15.8099
11 40 15.871
21 40 15.8753
5 48 15.953
10 28 15.9556
2 40 16.0405
9 33 16.1227
12 33 16.1513
9 26 16.1787
6 9 16.2116
16 18 16.2874
25 26 16.3721
4 5 16.5497
5 17 16.6291
17 40 16.6546
16 40 16.6598
21 32 16.7348
6 48 16.7536
14 37 16.7727
32 42 16.8237
44 48 16.8458
22 37 16.8833
9 22 16.9868
17 19 16.9884
2 26 17.0659
6 12 17.0862
14 19 17.311
17 37 17.3431
2 32 17.5165
34 42 17.6391
12 44 17.6483
19 22 17.6536
28 48 17.8469
34 40 17.898
10 18 18.0229
42 47 18.0306
9 28 18.0398
16 32 18.1
9 44 18.1113
21 42 18.1403
12 28 18.4348
24 33 18.8603
17 32 18.9698
22 25 18.9864
32 34 19.0613
14 25 19.08
10 40 19.1678
22 33 19.4809
18 48 19.6415
40 47 19.6809
11 26 19.7014
6 24 19.7492
26 37 19.8235
14 33 19.8742
9 18 20.0646
5 16 20.1693
2 14 20.2066
19 26 20.2913
12 18 20.3783
24 44 20.4
22 44 20.5334
2 24 20.5741
5 21 20.6478
6 22 20.6678
6 14 20.9222
32 47 20.9646
10 32 20.9683
2 17 21.1224
24 28 21.1475
14 44 21.1922
9 40 21.2627
17 33 21.2726
24 25 21.3997
5 10 21.45
22 28 21.635
25 42 21.6775
6 17 21.6862
4 40 21.9256
5 34 21.9869
14 28 22.1248
2 22 22.2083
4 32 22.2909
11 14 22.6867
5 9 22.6969
11 42 22.7769
25 48 22.9047
19 42 22.963
26 33 23.0158
18 24 23.1123
37 42 23.1257
11 22 23.1362
17 44 23.169
9 32 23.2532
2 12 23.3231
18 22 23.3295
12 25 23.3708
1 11 23.4009
5 47 23.4146
17 28 23.4234
1 4 23.5832
37 40 23.8188
14 18 23.9764
6 26 24.0365
26 44 24.3652
19 40 24.4564
11 24 24.5494
2 48 24.6684
32 37 24.7827
4 26 24.8942
4 42 25.1623
26 28 25.2757
1 25 25.2805
17 18 25.4957
19 32 25.5268
17 25 26.3451
33 40 26.6437
11 12 26.8181
11 48 26.8208
33 42 26.9885
18 26 27.1444
32 33 27.345
6 42 27.5666
2 16 27.6309
2 10 27.7104
21 25 27.7319
40 44 27.7661
6 40 27.7864
2 9 27.9781
4 14 28.0523
5 37 28.1062
11 17 28.2634
32 44 28.3186
16 25 28.4128
5 19 28.5041
6 32 28.5525
42 44 28.7867
28 40 28.8318
2 21 29.0648
4 22 29.0991
28 42 29.22
4 24 29.3207
28 32 29.4678
25 34 29.7658
2 34 29.8179
10 25 30.4665
18 40 30.5648
2 47 30.874
18 32 31.1034
18 42 31.2825
5 33 31.3626
4 17 31.3751
25 47 31.5053
11 21 31.6567
11 16 31.7917
4 12 31.8621
9 25 32.0951
5 6 32.3661
4 48 32.4227
5 44 32.7185
10 11 33.3071
11 34 33.4014
1 2 33.4069
5 28 33.6261
9 11 34.5324
1 5 34.7995
11 47 34.9883
5 18 35.4983
1 32 35.5422
25 37 35.6989
2 37 35.867
2 19 36.033
19 25 36.3327
4 16 36.6203
1 40 36.813
4 21 37.1715
4 10 37.4181
4 9 38.0919
25 33 38.4621
4 34 38.5195
2 33 39.4286
11 37 39.4589
25 44 39.5063
6 25 39.6306
4 47 39.882
11 19 39.9788
2 6 40.2825
25 28 40.6212
2 44 40.9695
1 26 41.5796
2 28 41.7165
18 25 42.2981
11 33 42.4528
1 22 43.4201
6 11 43.557
11 44 43.6239
2 18 43.6864
1 8 43.7935
1 14 44.1047
4 37 44.6419
11 28 44.6636
4 19 45.0045
1 42 46.1619
11 18 46.4231
1 24 46.6241
8 11 47.2558
2 8 47.3436
1 48 47.5403
4 33 47.9095
1 12 48.4386
4 6 48.9154
4 44 49.2424
4 28 50.1698
1 17 51.4237
4 18 52.0285
1 21 52.2386
8 25 52.3469
1 16 53.4724
1 34 54.5939
1 10 55.7318
5 8 55.9932
1 47 56.4561
1 9 57.361
1 37 60.2976
8 42 60.7821
1 19 61.067
8 40 61.9617
8 32 62.5171
1 33 62.6482
1 44 63.4133
1 6 63.9146
8 26 64.1914
1 28 64.6686
1 18 66.1361
8 17 67.2949
8 14 67.3792
8 24 67.9173
8 22 68.938
8 12 70.6646
8 48 71.8495
8 9 74.1405
8 10 74.5152
8 16 74.9085
8 21 76.3693
8 34 77.1475
8 47 78.1235
8 37 83.1632
8 19 83.2633
8 33 86.7661
6 8 87.5973
8 44 88.3124
8 28 89.054
8 18 91.0292
